document_tone/tones/0/score,document_tone/tones/0/tone_id,document_tone/tones/0/tone_name,document_tone/tones/1/score,document_tone/tones/1/tone_id,document_tone/tones/1/tone_name,document_tone/tones/2/score,document_tone/tones/2/tone_id,document_tone/tones/2/tone_name,document_tone/tones/3/score,document_tone/tones/3/tone_id,document_tone/tones/3/tone_name,document_tone/tones/4/score,document_tone/tones/4/tone_id,document_tone/tones/4/tone_name
0.505162,sadness,Sadness,,,,,,,,,,,,
0.642717,sadness,Sadness,0.986992,tentative,Tentative,0.754861,analytical,Analytical,,,,,,
0.855362,analytical,Analytical,0.833659,tentative,Tentative,,,,,,,,,
0.507978,anger,Anger,0.932219,tentative,Tentative,,,,,,,,,
0.635453,joy,Joy,0.771787,confident,Confident,,,,,,,,,
,,,,,,,,,,,,,,
0.699274,anger,Anger,,,,,,,,,,,,
0.929128,confident,Confident,0.707538,analytical,Analytical,,,,,,,,,
0.543098,joy,Joy,0.874176,confident,Confident,0.789542,analytical,Analytical,,,,,,
0.746055,sadness,Sadness,0.629267,confident,Confident,0.682376,analytical,Analytical,,,,,,
0.796812,joy,Joy,0.708531,confident,Confident,,,,,,,,,
,,,,,,,,,,,,,,
0.505684,sadness,Sadness,,,,,,,,,,,,
0.528577,sadness,Sadness,,,,,,,,,,,,
0.578937,sadness,Sadness,,,,,,,,,,,,
0.572712,sadness,Sadness,,,,,,,,,,,,
0.562112,sadness,Sadness,0.526322,tentative,Tentative,,,,,,,,,
0.822656,tentative,Tentative,,,,,,,,,,,,
0.704592,joy,Joy,0.532803,tentative,Tentative,,,,,,,,,
0.512961,joy,Joy,,,,,,,,,,,,
0.710805,fear,Fear,0.655568,anger,Anger,0.626198,sadness,Sadness,0.74629,tentative,Tentative,,,
,,,,,,,,,,,,,,
0.668438,anger,Anger,0.844954,confident,Confident,,,,,,,,,
0.74194,joy,Joy,,,,,,,,,,,,
0.877616,joy,Joy,0.60858,tentative,Tentative,,,,,,,,,
0.735874,sadness,Sadness,,,,,,,,,,,,
0.602504,fear,Fear,0.553681,sadness,Sadness,0.631794,tentative,Tentative,,,,,,
0.7161,sadness,Sadness,0.801068,tentative,Tentative,,,,,,,,,
0.842503,confident,Confident,,,,,,,,,,,,
0.592728,sadness,Sadness,0.96409,tentative,Tentative,0.641102,analytical,Analytical,,,,,,
0.544501,joy,Joy,0.547016,analytical,Analytical,,,,,,,,,
0.917542,tentative,Tentative,,,,,,,,,,,,
0.525598,anger,Anger,,,,,,,,,,,,
0.81681,anger,Anger,0.908151,tentative,Tentative,,,,,,,,,
0.673924,tentative,Tentative,,,,,,,,,,,,
0.542465,sadness,Sadness,0.68054,tentative,Tentative,,,,,,,,,
0.523938,sadness,Sadness,0.910971,tentative,Tentative,,,,,,,,,
0.742089,sadness,Sadness,0.621833,tentative,Tentative,,,,,,,,,
0.805962,anger,Anger,0.60167,confident,Confident,,,,,,,,,
0.667307,sadness,Sadness,0.927447,tentative,Tentative,,,,,,,,,
,,,,,,,,,,,,,,
0.664175,tentative,Tentative,,,,,,,,,,,,
0.509903,sadness,Sadness,0.925447,tentative,Tentative,,,,,,,,,
0.659644,sadness,Sadness,0.705759,analytical,Analytical,,,,,,,,,
0.831111,tentative,Tentative,,,,,,,,,,,,
0.815423,anger,Anger,0.673723,tentative,Tentative,,,,,,,,,
0.620423,analytical,Analytical,0.692385,tentative,Tentative,,,,,,,,,
0.58086,sadness,Sadness,,,,,,,,,,,,
0.764224,tentative,Tentative,,,,,,,,,,,,
0.601315,sadness,Sadness,0.723642,tentative,Tentative,,,,,,,,,
0.540578,sadness,Sadness,,,,,,,,,,,,
0.567093,joy,Joy,0.569593,sadness,Sadness,0.881409,analytical,Analytical,,,,,,
0.603739,anger,Anger,,,,,,,,,,,,
0.902672,confident,Confident,,,,,,,,,,,,
0.581537,joy,Joy,0.678012,anger,Anger,,,,,,,,,
0.604017,sadness,Sadness,0.888966,tentative,Tentative,,,,,,,,,
0.605512,anger,Anger,,,,,,,,,,,,
0.568965,anger,Anger,0.641588,joy,Joy,0.576762,sadness,Sadness,,,,,,
0.605713,sadness,Sadness,0.818738,analytical,Analytical,,,,,,,,,
0.562433,anger,Anger,,,,,,,,,,,,
,,,,,,,,,,,,,,
0.781206,joy,Joy,0.905937,tentative,Tentative,,,,,,,,,
0.512075,tentative,Tentative,,,,,,,,,,,,
0.632158,fear,Fear,0.523032,sadness,Sadness,0.571172,confident,Confident,,,,,,
0.93128,confident,Confident,,,,,,,,,,,,
0.574116,sadness,Sadness,0.918209,tentative,Tentative,,,,,,,,,
,,,,,,,,,,,,,,
0.749647,sadness,Sadness,,,,,,,,,,,,
0.970844,confident,Confident,0.730972,analytical,Analytical,,,,,,,,,
0.743634,sadness,Sadness,0.908826,tentative,Tentative,,,,,,,,,
0.511282,sadness,Sadness,0.677232,analytical,Analytical,0.923938,tentative,Tentative,,,,,,
0.717874,anger,Anger,0.628072,tentative,Tentative,0.912706,analytical,Analytical,,,,,,
0.620072,tentative,Tentative,0.808717,analytical,Analytical,,,,,,,,,
0.52745,anger,Anger,0.721854,fear,Fear,0.671071,confident,Confident,,,,,,
0.618784,tentative,Tentative,,,,,,,,,,,,
0.646388,sadness,Sadness,0.657449,tentative,Tentative,,,,,,,,,
0.592407,fear,Fear,0.566269,joy,Joy,0.878094,confident,Confident,,,,,,
0.729279,tentative,Tentative,,,,,,,,,,,,
0.753081,tentative,Tentative,,,,,,,,,,,,
0.645321,sadness,Sadness,0.933398,tentative,Tentative,0.558231,analytical,Analytical,,,,,,
,,,,,,,,,,,,,,
0.68497,sadness,Sadness,0.550496,tentative,Tentative,,,,,,,,,
0.723908,joy,Joy,0.775112,tentative,Tentative,,,,,,,,,
0.527895,sadness,Sadness,0.57924,analytical,Analytical,0.881161,tentative,Tentative,,,,,,
0.985224,tentative,Tentative,,,,,,,,,,,,
