artist,title,album,date,lyrics
Jawbreaker,The Boat Dreams from the Hill,24 Hour Revenge Therapy,02/07/1994,"Boat on a hill, never going to sea
Anchored to a fixer upper's dream
This boat is beat, never gonna be a boat now
Thirsty, sees the sea from high on the ice plant

He keeps patching it and painting
Thinking about his pension plan
But the boat is out to pasture
Seems it never had a chance

I wanna be a boat
I wanna learn to swim
Then I'll learn to float
Then begin again
I wanna be a boat
I wanna learn to swim
Then I'll learn to float
Then begin again
Begin again

Boat remembers the carpenter's sure hand
Missing fishy flutter on its rudder
Sold at an auction, on a dolly ever since
Sometimes rainy days drop boyish wonder

He keeps patching it and painting
Thinking about his pension plan
But the boat is out to pasture
Seems it never had a chance

I wanna be a boat
I wanna learn to swim
Then I'll learn to float
Then begin again
I wanna be a boat
I wanna learn to swim
Then I'll learn to float
Then begin again
Begin again"
Jawbreaker,West Bay Invitational,24 Hour Revenge Therapy,02/07/1994,"All of the neighbors decided
It's time to have all our strangers over and make friends
Chris got a pony keg of loose charm
I had an accident
I hurt my arm

People from bands and labels
The good ones
Plenty of stunning children, East Bay
You were from Oakland by way of the Midwest
I bought a rose and a suit with the pants pegged

You said, ""I smelled you twice today.""
Someone was passing out somewhere
We kissed a shot of Kentucky straight
I swore this life is worth the wait

Hayes broke the scissors, apologized
Our kitchen was crowded and steamy
Isn't it always?

I just looked deeper into you
You bit my neck blue
We hung our clothes up on the floor
And put our faith in a closed door

We're having this party
Please come
It won't be the same without you
Please come"
The Offspring,Come Out and Play (Keep 'Em Separated),Smash,03/10/1994,"You gotta keep 'em separated

Like the latest fashion
Like a spreading disease
The kids are strappin' on their way to the classroom
Getting weapons with the greatest of ease
The gangs stake out their own campus locale
And if they catch you slippin', then it's all over, pal
If one guy's colors and the other's don't mix
They're gonna bash it up, bash it up, bash it up, bash it up...

Hey! Man, you talkin' back to me?
Take him out
You gotta keep 'em separated
Hey! Man, you disrespectin' me?
Take him out
You gotta keep 'em separated
Hey, they don't pay no mind
If you're under 18, you won't be doing any time
Hey! Come out and play

By the time you hear the siren
It's already too late
One goes to the morgue and the other to jail
One guy's wasted and the other's a waste
It goes down the same as the thousand before
No one's getting smarter
No one's learning the score
Your never ending spree of death and violence and hate
Is gonna tie your own rope, tie your own rope, tie your own...

Hey! Man, you disrespectin' me?
Take him out
You gotta keep 'em separated
Hey! Man, you talkin' back to me?
Take him out
You gotta keep 'em separated
Hey, they don't pay no mind
If you're under 18, you won't be doing any time
Hey! Come out and play

It goes down the same as the thousand before
No one's getting smarter
No one's learning the score
Your never ending spree of death and violence and hate
Is gonna tie your own rope, tie your own rope, tie your own...

Hey! Man, you talkin' back to me?
Take him out
You gotta keep 'em separated
Hey! Man, you disrespectin' me?
Take him out
You gotta keep 'em separated
Hey, they don't pay no mind
If you're under 18, you won't be doing any time
Hey! Come out and play"
The Offspring,Come Out And Play,Smash,04/08/1994,"You gotta keep 'em separated
Like the latest fashion
Like a spreading disease
The kids are strappin' on their way to the classroom
Getting weapons with the greatest of ease
The gangs stake their own campus locale
And if they catch you slippin' then it's all over pal
If one guy's colors and the others don't mix
They're gonna bash it up, bash it up, bash it up, bash it up
Hey, man you talkin' back to me?
Take him out
You gotta keep 'em separated
Hey, man you disrespecting me?
Take him out
You gotta keep 'em separated
Hey, they don't pay no mind
If you're under 18 you won't be doing any time
Hey, come out and play
By the time you hear the siren
It's already too late
One goes to the morgue and the other to jail
One guy wasted and the other's a waste
It goes down the same as the thousand before
No one's getting smarter, no one's learning the score
Your never ending spree of death and violence and hate
Is gonna tie your own rope, tie your own rope, tie your own
Hey, man you disrespecting me?
Take him out
You gotta keep 'em separated
Hey, man you talkin' back to me?
Take him out
You gotta keep 'em separated
Hey, they don't pay no mind
If you're under 18 you won't be doing any time
Hey, come out and play
It goes down the same as the thousand before
No one's getting smarter, no one's learning the score
Your never ending spree of death and violence and hate
Is gonna tie your own rope, tie your own rope, tie your own
Hey, man you talkin' back to me?
Take him out
You gotta keep 'em separated
Hey, man you disrespecting me?
Take him out
You gotta keep 'em separated
Hey, they don't pay no mind
If you're under 18 you won't be doing any time
Hey, come out and play"
The Offspring,Bad Habit,Smash,04/08/1994,"Hey, man, you know I'm really okay
The gun in my hand will tell you the same
But when I'm in my car, don't give me no crap
'Cause the slightest thing and I just might snap

When I go driving, I stay in my lane
But getting cut off, it makes me insane
I open the glove box, reach inside
I'm gonna wreck this fucker's ride

I guess I got a bad habit
Of blowin' away (Yeah, Yeah)
I got a bad habit (Yeah, Yeah)
And it ain't goin' away (Yeah, Yeah)
Yeah (Yeah, Yeah)
Yeah (Yeah, Yeah)

They say the road is a dangerous place
If you flip me off, I'll get in your face
If you drive on my ass, your foot's on the gas
And your next breath is your last

I guess I got a bad habit
Of blowin' away (Yeah, Yeah)
I got a bad habit (Yeah, Yeah)
And it ain't goin' away (Yeah, Yeah)
Yeah (Yeah, Yeah)
Yeah (Yeah, Yeah)

Drivers are rude
Such attitudes
But when I show my piece
Complaints cease
Something's odd
I feel like I'm God
You stupid dumbshit goddam motherfucker!

I open the glove box
Reach inside
I'm gonna wreck this fucker's ride

I guess I got a bad habit
Of blowin' away (Yeah, Yeah)
I got a bad habit (Yeah, Yeah)
And it ain't goin' away (Yeah, Yeah)
Yeah (Yeah, Yeah)
Yeah (Yeah, Yeah)

Yeah (Yeah, Yeah)
Yeah, oh"
The Offspring,Genocide,Smash,04/08/1994,"Our lives run different ways
Through the rain I
See you in the sun
Our star shines anyway
If you wish upon it, we are one
(One, two, three, four)

Dog eat Dog
Every day
On our fellow man we prey
Dog eat Dog
To get by
Hope you like my genocide

I find it such a shame
Through the pain I see things as they are
We're served up on a plate
Pedestal is high enough to fall
And if in time
We can see the errors of our ways
Would anyone change it anyhow
Our time is up
(One, two, three, four)
 

I bet you'd only run
If you saw what goes inside
Our own
I bet you'd lead the way
If it were up to you decide
But it's not
 

Like a silver flame
Like a suicide
Like your giving more
(One, two, three, four)

Mmm, I especially enjoyed that one...
Let's see what's next"
The Offspring,Gotta Get Away,Smash,04/08/1994,"Getting edgy all the time
Someone around me just a step behind
It's kind of scary, the shape I'm in
Walls are shaking and they're closing in
Too fast or a bit too slow
Paranoid of people and it's starting to show
One guy that I can't shake
Over my shoulder is a big mistake

Sitting on the bed
Or lying wide awake
There's demons in my head
And it's more than I can take
I think I'm on a roll
But I think it's kind of weak
Saying all I know is
I gotta get away from me

I tell you, something just ain't right
My head is on loose but my shoes are tight
Avoiding my friends 'cause they all bug
Life is like a riddle and I'm really stumped
If you reason, don't you know
Your own preoccupation is where you'll go
Being followed, I look around
It's only my shadow creeping on the ground

Sitting on the bed
Or lying wide awake
There's demons in my head
And it's more than I can take
I think I'm on a roll
But I think it's kind of weak
Saying all I know is
I gotta get away from me
I gotta get away from me
I gotta get away from me

Sitting on the bed
Or lying wide awake
There's demons in my head
And it's more than I can take
I think I'm on a roll
But I think it's kind of weak
Saying all I know is
I gotta get away from me
I gotta get away from me
I gotta get away from me
I gotta get away from me..."
The Offspring,Nitro (Youth Energy),Smash,04/08/1994,"Our generation sees the world
Not the same as before
We might as well just throw it all
And live like there is no tomorrow

There's no tomorrow
There's no tomorrow

We are the ones who are living
Under the gun every day
You might be gone before you know
So live like there is no tomorrow

(Ain't gonna waste this life)
There's no tomorrow
(Ain't gonna live it for me)
There's no tomorrow
(Ain't gonna waste this life)
There's no tomorrow
(Ain't gonna live it for me)

Hey, believe it
The official view of the world has changed
(In a whole new way)
Live fast 'cause if you don't take it
You'll never make it

So if you understand me
And if you feel the same
Then you will know what nitro means
You'll live like there is no tomorrow

There's no tomorrow..."
The Offspring,Smash,Smash,04/08/1994,"Head over heels I've fit in before
Now I don't want to do it no more
I held it all in with blood on my face
Built it up, man, so bad you can taste
I don't slag no one, I don't even judge
Don't give me shit 'cause I'm not gonna budge
I just want to be who I want to be
Guess that's hard for others to see

I'm not a trendy asshole
I do what I want
I do what I feel like
I'm not a trendy asshole
I don't give a fuck
If it's good enough for you
'Cause I'm alive

Smash is the way you feel all alone
Like an outcast you're out on your own
Smash is the way you deal with your life
Like an outcast you're smashing your strife
Head over heels I've fit in before
Now I don't want to do it no more
I just want to be who I want to be
Guess that's hard for others to see

I'm not a trendy asshole
I do what I want
I do what I feel like
I'm not a trendy asshole
I don't give a fuck
If it's good enough for you
'Cause I'm alive

Head over heels I've fit in before
Now I don't want to do it no more
I just want to be who I want to be
Guess that's hard for others to see
 
I'm not a trendy asshole
I do what I want
I do what I feel like
I'm not a trendy asshole
I don't give a fuck
If it's good enough for you
'Cause I'm alive
I'm not a trendy asshole
I do what I want
I do what I feel like
I'm not a trendy asshole
I don't give a fuck
If it's good enough for you
'Cause I'm alive
I'm alive
I'm alive

There. I hope you enjoyed our time together today
You know, it seems harder and harder
To just sit back and enjoy the finer things in life
Well, till next time
Ta-ta!"
The Offspring,What Happened to You?,Smash,04/08/1994,"What in the world happened to you?

Before you started tokin', you used to have a brain
But now you don't get even the simplest of things
I can draw a little picture or even use my hands
I try to explain but you just don't understand

Man, you're really losin' it
And you've really done a lot of junk now
But you keep on abusin' it
What in the world happened to you?

It's bad enough you do it, you do it to yourself
But taking someone with you
Well, you know that's something else
I say I'm not that kind of person
I'm not that kind of man
I try to explain, but you just don't understand

Man, you're really losin' it
And you've really done a lot of junk now
But you keep on abusin' it
What in the world happened to you?

Man, you're really losin' it
And you've really done a lot of junk now
But you keep on abusin' it
What in the world happened to you?

I might be sympathetic or cut a little slack
If I thought that you were willing to give a little back
But you do it in the morning, you do it in the night
You lie to refrain from just facing your life
So I'll see you man tomorrow, you'll be gackin' up again
I'll see you in a coffin by the time your wad is spent
I think of all the times that I tried to lend a hand
I try to explain but you just don't understand

Man, you're really losin' it
And you've really done a lot of junk now
But you keep on abusin' it
What in the world happened to
What in the world happened to
What in the world happened to you?"
Rancid,Nihilism,Let's Go,06/21/1994,"Come into the union district
Drive down on Sharmon Palms
White ghettos paint a picture
Broken homes and broken bones
I was so full of scotch I could not stand up
I was hittin the shots and I moved to a cup
Release me from moral assumption
Total rejection, total destruction
Nihilistic feelings are moving
If you try really hard, you'll see right through them
Nihilism!
Nihilism!
Nihilism!
Nihilism!
Come into the union district
Drive down on Sharmon Palms
White ghettos paint a picture
Broken homes and broken bones
Walkin' a path of self destruction
Not affected by the repercussions
Lady on the billboard offer me a drink
Said not right now I need time to think
Nihilistic feelings are moving
If I try really hard, I'll see right through them
Nihilism!
Nihilism!
Nihilism!
Nihilism!
Nihilism!
Nihilism!
I was so full of scotch I could not stand up (Nihilism!)
I was hittin' the shots and I moved to a cup (Nihilism!)
We'll I've come into union district, an you drive down Sharmon Palms (Nihilism!)
White ghettos paint a picture, broken homes and broken bones (Nihilism!)
Yeah, broken bones!
Hey!
Hey!
Hey!
Hey!"
Rancid,Salvation,Let's Go,06/21/1994,"Come on baby won't you show me what you got
I want your salvation
Ooh-oh-oh
There's a neighborhood called Blackhawk
Where all the rich people hide
I was down on my luck, workin' for the Salvation Army
The shelter's where I reside
Every day we drive in to Blackhawk and we pick up the offerings microwaves, refrigerators for the suffering
Come on baby won't you show me what you got
I want your salvation
Ooh-oh-oh
I can't believe these people live like kings
Hidden estates and diamond rings
I'm a rat out on a mission
I'm in your front yard under suspicion
Come on baby won't you show me what you got
I want your salvation
Ooh-oh-oh"
