artist,title,album,date,lyrics
Lagwagon,Stokin' The Neighbors,Trashed,02/04/1994,"Friday night's a perfect night to mow some neighbor's lawn
And i'm drunk and at the helm before too long
And chris will gladly ride shotgun
'cause navigating seems like fun
Drunk and out of gas, we drive around and crash
Drivin' through the yard
There's nothin' u can do
Dave's behind the wheel and he's had more than just a few
Suburban families slumber in civility
Awakened to the sights and sounds of the yard they're blowin' down
In their death machine
Drive, drive, drive, drive, drive, drive
Dave's a midnight landscaper and he's workin over-time
And he is full throttle-- full throttle tonight
--ARIGHT!!--
He was almost home, just one more block
He had to hit that last mailbox
Dumped it in a ditch-- ain't that a bitch?
STOKIN' THE NEIGHBORS!
Dave had to run, dave had to bail
He was havin' too much fun to spend the night in jail
Had no triple A for a tow truck
Called 'em anyway only to hear them say
""hey pal, you're fucked""
""hey man, what're ya doin?""
""i'm goin for another drive, you wanna go chris?""
""ya bro, lemme grab a couple beers!""
""shouldn't be drivin like that, dave""
Dave's a decent guy like most of us until he drinks
Then his liquid mind takes over how he thinks
And then all that matters is havin' fun
Pulling off the next beer run
On one too many nights, the party's over
Drivin' through the yard
There's nothin' u can do
Dave's behind the wheel and he's had more than just a few
Suburban families slumber in civility
Awakened to aftermath, the neighbors have been stoked
""the story you have just heard is true. the names have not been
Changed to protect the guilty, however, lagwagon does not condone
Drinking and driving, they just find this particularly humerous."""
Jawbreaker,Ache,24 Hour Revenge Therapy,02/07/1994,"I believe in desperate acts
The kind that make you look stupid
(Look like a fool)
Just keep reinventing myself
It's move or die
(I change my form)
These days, the people I love are spread so far apart
(All out of reach)
It's a thin sheet across the face
(Cover me now)

That's pretty old
That's pretty old
""I never felt like this before.""
I say that every hour
""I never felt like this before.""
I say that every hour

It's never going to be like it could have been
Now it's just this room
(Window looks back)
You're a big part of it but I don't care
(You take the lead)
And can you really see me now like I made me?
(Made me anew)
Just like anyone at all
(Safer alone)

That's pretty old
That's pretty old
""I never felt like this before.""
I say that every hour
""I never felt like this before.""
I say that every hour

So right, so wrong
Another winter's coming on
You win, you lose
It's the same old news
(Some things go wrong so often)
Pick up the phone and punch your code
Somewhere, sometime, let me make you mine

Lean your head on mine like you used to
(Used to your lean)
I don't mind if you're faking it
(Make it seem real)
I'm not asking the questions
I'm not demanding the answers now
(Take what you give)
Right or wrong, just take me, lead me on
I'm going
(I'm giving up)
I'm going

So right, so wrong
Another winter's coming on
You win, you lose
It's the same old news
(These things go wrong so often)
Pick up the phone and punch your code
Somewhere, sometime, let me make you mine"
Jawbreaker,Ashtray Monument,24 Hour Revenge Therapy,02/07/1994,"Free, alone
The predawn white light's coming on
Botte on the nightstand
I count disasters on my free hand now
Run for cover there's a big one coming
You'll be lucky if you're at ground zero
No one said that this life was easy
Did that no one ever live a life this hard?
It gets hard, the bills are scattered in the yard
Ashtray monument
A life spent waiting in cement comes down
After all, it's not that bad
I still have pictures, I look back
At all the things that we once did
You said ""I love you"" I guess you did
Remember our life?
I did the dishes while you read out loud
Best friends, strangers now
Were our kids all we could call common ground?"
Jawbreaker,Boxcar,24 Hour Revenge Therapy,02/07/1994,"""You're not punk and I'm telling everyone.""
Save your breath, I never was one
You don't know what I'm all about
Like killing cops and reading Kerouac

My enemies are all too familiar
They're the ones who used to call me friend
I'm coloring outside your guidelines
I was passing out when you were passing out your rules
One, two, three, four
Who's punk? What's the score?

Got a friend, her name is Boxcar
Cigarettes and beer in El Sob
Her hair was blue, now it's green
I like her mind, she hates the scene

My enemies are all too familiar
They're the ones who used to call me friend
I'm coloring outside your guidelines
I was passing out when you were passing out your rules
One, two, three, four
Who's punk? What's the score?

You're on your own
You're all alone
You're on your own
You're all alone
You're on your own
You're all alone
You're on your own
You're all alone"
Jawbreaker,Condition Oakland,24 Hour Revenge Therapy,02/07/1994,"I rode down to the tracks
Thinking they might sing to me
But they just stared back
Broken, trainless, and black as night
Climbed out on to my roof
So I'd be a poet in the night
Beat the walls off my room
I saw the big room that is this life

This is my condition:
Naked and hysterical
Reaching to grab a hand that I just slapped back at
This is my condition:
Desperate, alone, without an excuse
I try to explain
Christ, what's the use?

Read and I felt so small
Some words keep speaking when you close the book
Drank and just about smiled
Then I remembered us in that bed
Put my ear to the door
I just heard hot rods and gunshots and sirens
People kill me these days
There's keys in their eyes but they locked from the inside

This is my condition:
Naked and hysterical
Reaching to grab a hand that I just slapped back at
This is my condition:
Desperate, alone, without an excuse
I try to explain
Christ, what's the use?

""...and everything is pouring in, the switching moves of
Boxcars in that little alley which is so much like the alleys of
Lowell and I hear far off in the sense of coming night that engine
Calling our mountains. But it was that beautiful cut of clouds I could always see above the little S.P. alley, puffs floating by from Oakland or the Gate of Marin to the north or San Jose south, the clarity of Cal to break your heart. It was the fantastic drowse and drum hum of lum
Mum afternoon nathin' to do, ole Frisco...""
""...the street is loaded with darkness. Blue sky above with stars hanging high over old hotel roofs and blowers of hotels moaning out dusts of interior, the grime inside the word in mouths falling out tooth
By tooth, the reading rooms tick tock bigclock with creak
Chair and slantboards and old faces looking up over rimless
Spectacles bought in some West Virginia or Florida or Liverpool
England pawnshop long before I was born and across
Rains they've come to the end of the land sadness end of the
World gladness all you San Franciscos will have to fall eventually
And burn again. But I'm walking and one night..."""
Jawbreaker,Do You Still Hate Me?,24 Hour Revenge Therapy,02/07/1994,"Been hearing about you
All about your disapproval
Still I remember the way I used to move you
I wrote you a letter
I heard it just upset you
Why don't you tell me?
How can I do this better?

Are you out there?
Do you hear me?
Can I call you?
Do you still hate me?
Are we talking?
Are we fighting?
Is it over?
Are we writing?

We're getting older but we're acting younger
We should be smarter
It seems we're getting dumber
I have a picture of you and me in Brooklyn
On a porch, it was raining
Hey, I remember that day

Are you out there?
Do you hear me?
Can I call you?
Do you still hate me?
Are we talking?
Are we fighting?
Is it over?
Are we writing?
And I miss you"
Jawbreaker,Indictment,24 Hour Revenge Therapy,02/07/1994,"I just wrote the dumbest song
It's gonna be a sing along
All our friends will clap and sing
Our enemies will laugh and be pointing

It won't bother me
What the thoughtless are thinking
I am more concerned with what we're drinking

They'll laugh about it at the warehouse
Saying I'm so lame
It wrote itself
You can keep the blame

It'll be a happy song
Not unlike some other ones
While everyone's depressed and broke
I get high off your sick jokes
(Ha ha ha)

They're colossal
They're tousling
All the worried hair
Stay up there

So crazy, it just might work
Then we'll quit our jobs
We could be the next group that you rob

There are times for being dumb
This must be one of them
I'd like to know what's so wrong with a stupid, happy song?

It says many things in its nothingness
It gives me space to think, I guess
To think less and less

Moving units and tracking charts
Will they ever learn?
It isn't who you know, it's who you burn

It means nothing
Selling kids to other kids
If you think we changed our tune, I hope we did"
Jawbreaker,In Sadding Around,24 Hour Revenge Therapy,02/07/1994,"Sleeping off the last five years takes another five
Recovery in lieu of being here right now
When I throw myself at your feet
You know it's to be walked on
We're breaking up every single night

If I had a choice don't you think I'd make it?
I lost my voice, I hope I didn't break it
Little demons by my bed whisper secrets
The kind you never hear

I dip my toe in this cold, cold life
I want to dive but I can't find your feet
You with a view so unlike my own
I'm trying on your eyes
So I let go, fall to the ground
It's a long way down again

Petty cons keep peeling back my ears
We make plans
Collaborate and give to you my better half
Until now just dead weight, a prisoner of doubt
In a cell, we kiss and tell all our keepsakes

I dip my toe in this cold, cold life
I want to dive but I can't find your feet
You with a view so unlike my own
I'm trying on your eyes
So I let go, fall to the ground
It's a long way down again

Sore, hit the floor
Got my first glimpse of the sky
The stars were on your side
Who would've thunk the thirteenth fell on Friday?
I say hello and it's goodbye again"
Jawbreaker,Jinx Removing,24 Hour Revenge Therapy,02/07/1994,"Talked out and now I'm feeling crowded
All the errands in the world won't save us now
Rained in and I won't come unclouded
There's a stillness in the air
I pray for sound

We're too smart to watch TV
We're too dumb to make believe
This is all we want from life
And I'm too dumb to talk to you
You're so quick to listen to me
I'm saying nothing you don't know
Nothing you don't know

Walked out and I won't be rerouted
If I don't go outside today, I never will
Too old not to get excited
About rain and roads, Egyptian ruins
Our first kiss

We're too smart to watch TV
We're too dumb to make believe
This is all we want from life
And I'm too dumb to talk to you
You're so quick to listen to me
I'm saying nothing you don't know

I love you more than I ever loved anyone before, or anyone to come
Someone said your name
I thought of you alone
I was just the same twenty blocks away

Blew twelve and kissed the thirteenth finger
""Rabbit, rabbit"" on the first
I hold my breath
Did tricks, I hoped you wouldn't notice
A superstitious hyperrealist
I'll make you mine

We're too smart to watch TV
We're too dumb to make believe
This is all we want from life
And I'm too dumb to talk to you
You're so quick to listen to me
I'm saying nothing you don't know

I love you more than I ever loved anyone before, or anyone to come
Someone said your name
I thought of you alone
I was just the same twenty blocks away"
Jawbreaker,Outpatient,24 Hour Revenge Therapy,02/07/1994,"A little voice that's not quite your own
""Count backwards from ten.""
Yellow jelly shot hard in vein
I want to talk to you again
""This is Jennings, your anesthetist.""
""We think we'll go in through the mouth.""
Watch the lights go from head to toe
Doped up and coasting down the hall

Now I'm talking through my pen
Do you read me?
Am I bleeding?
Am I bleeding again?
Now I'm talking through my pen
Do you read me?
Am I bleeding?
Suddenly hear so clearly again

Wake up screaming so far from home
Incontinent off continent
The tears are warm
The body's numb
""Get your coat, your ride is here.""

Now I'm talking through my pen
Do you read me?
Am I bleeding?
Suddenly hear so clearly again
Now I'm talking through my pen
Do you read me?
Am I bleeding?
Am I bleeding again?"
