ranking,album,artist,date,,
112,all killer no filler,sum 41,3/2/2002,,
115,all killer no filler,sum 41,2/23/2002,,
118,all killer no filler,sum 41,3/9/2002,,
152,all killer no filler,sum 41,3/16/2002,,
153,all killer no filler,sum 41,3/23/2002,,
154,all killer no filler,sum 41,3/30/2002,,
156,all killer no filler,sum 41,4/13/2002,,
167,all killer no filler,sum 41,4/6/2002,,
175,all killer no filler,sum 41,4/20/2002,,
200,all killer no filler,sum 41,5/4/2002,,
1,american beauty / american psycho,fall out boy,2/7/2015,,
1,american idiot,green day,10/9/2004,,
2,americana,the offspring,2/27/1999,,
2,americana,the offspring,1/16/1999,,
3,americana,the offspring,3/6/1999,,
3,americana,the offspring,2/20/1999,,
4,americana,the offspring,2/13/1999,,
4,americana,the offspring,2/6/1999,,
4,americana,the offspring,1/30/1999,,
4,americana,the offspring,1/23/1999,,
5,americana,the offspring,4/17/1999,,
6,americana,the offspring,4/10/1999,,
6,americana,the offspring,12/5/1998,,
7,americana,the offspring,5/8/1999,,
7,americana,the offspring,4/3/1999,,
8,americana,the offspring,5/15/1999,,
8,americana,the offspring,4/24/1999,,
8,americana,the offspring,1/9/1999,,
9,americana,the offspring,5/1/1999,,
9,americana,the offspring,3/27/1999,,
9,americana,the offspring,3/20/1999,,
9,americana,the offspring,1/2/1999,,
9,americana,the offspring,1/2/1999,,
9,americana,the offspring,12/26/1998,,
10,americana,the offspring,3/13/1999,,
11,americana,the offspring,12/19/1998,,
12,americana,the offspring,5/22/1999,,
12,americana,the offspring,12/12/1998,,
15,americana,the offspring,5/29/1999,,
16,americana,the offspring,6/19/1999,,
17,americana,the offspring,6/12/1999,,
17,americana,the offspring,6/5/1999,,
20,americana,the offspring,6/26/1999,,
28,americana,the offspring,7/3/1999,,
30,americana,the offspring,7/10/1999,,
36,americana,the offspring,7/17/1999,,
40,americana,the offspring,8/7/1999,,
41,americana,the offspring,8/21/1999,,
41,americana,the offspring,8/14/1999,,
41,americana,the offspring,7/24/1999,,
46,americana,the offspring,7/31/1999,,
47,americana,the offspring,8/28/1999,,
52,americana,the offspring,9/4/1999,,
58,americana,the offspring,9/11/1999,,
61,americana,the offspring,9/18/1999,,
63,americana,the offspring,9/25/1999,,
74,americana,the offspring,10/2/1999,,
82,americana,the offspring,10/9/1999,,
87,americana,the offspring,10/23/1999,,
88,americana,the offspring,10/16/1999,,
90,americana,the offspring,10/30/1999,,
92,americana,the offspring,11/6/1999,,
114,americana,the offspring,11/20/1999,,
117,americana,the offspring,11/13/1999,,
126,americana,the offspring,1/15/2000,,
127,americana,the offspring,11/27/1999,,
135,americana,the offspring,12/4/1999,,
138,americana,the offspring,1/8/2000,,
140,americana,the offspring,1/1/2000,,
141,americana,the offspring,1/22/2000,,
142,americana,the offspring,12/25/1999,,
143,americana,the offspring,12/18/1999,,
144,americana,the offspring,12/11/1999,,
150,americana,the offspring,1/29/2000,,
155,americana,the offspring,2/5/2000,,
170,americana,the offspring,2/12/2000,,
185,americana,the offspring,2/19/2000,,
189,americana,the offspring,2/26/2000,,
192,americana,the offspring,3/4/2000,,
195,americana,the offspring,3/11/2000,,
168,anchors aweigh,the bouncing souls,9/13/2003,,
2,bad vibrations,a day to remember,9/24/2016,,
28,bad vibrations,a day to remember,10/1/2016,,
92,bad vibrations,a day to remember,10/8/2016,,
136,bad vibrations,a day to remember,10/15/2016,,
51,before everything & after,mxpx,10/4/2003,,
156,before everything & after,mxpx,10/11/2003,,
172,blaze,lagwagon,4/26/2003,,
31,bleed america,jimmy eat world,7/20/2002,,
3,blink-182,blink-182,12/6/2003,,
11,blink-182,blink-182,12/13/2003,,
12,blink-182,blink-182,1/17/2004,,
14,blink-182,blink-182,1/10/2004,,
16,blink-182,blink-182,1/3/2004,,
19,blink-182,blink-182,12/27/2003,,
19,blink-182,blink-182,12/20/2003,,
25,blink-182,blink-182,1/24/2004,,
26,blink-182,blink-182,1/31/2004,,
28,blink-182,blink-182,4/3/2004,,
30,blink-182,blink-182,3/27/2004,,
30,blink-182,blink-182,2/7/2004,,
35,blink-182,blink-182,4/24/2004,,
37,blink-182,blink-182,2/14/2004,,
38,blink-182,blink-182,3/6/2004,,
39,blink-182,blink-182,3/20/2004,,
41,blink-182,blink-182,4/10/2004,,
41,blink-182,blink-182,3/13/2004,,
42,blink-182,blink-182,5/1/2004,,
42,blink-182,blink-182,4/17/2004,,
42,blink-182,blink-182,2/21/2004,,
46,blink-182,blink-182,5/15/2004,,
49,blink-182,blink-182,7/10/2004,,
49,blink-182,blink-182,2/28/2004,,
50,blink-182,blink-182,5/29/2004,,
51,blink-182,blink-182,5/8/2004,,
54,blink-182,blink-182,7/24/2004,,
56,blink-182,blink-182,7/3/2004,,
56,blink-182,blink-182,5/22/2004,,
57,blink-182,blink-182,6/19/2004,,
58,blink-182,blink-182,6/12/2004,,
58,blink-182,blink-182,6/5/2004,,
60,blink-182,blink-182,6/26/2004,,
62,blink-182,blink-182,7/31/2004,,
63,blink-182,blink-182,7/17/2004,,
64,blink-182,blink-182,8/7/2004,,
77,blink-182,blink-182,8/14/2004,,
84,blink-182,blink-182,8/21/2004,,
90,blink-182,blink-182,8/28/2004,,
98,blink-182,blink-182,9/4/2004,,
109,blink-182,blink-182,9/11/2004,,
118,blink-182,blink-182,9/18/2004,,
122,blink-182,blink-182,9/25/2004,,
138,blink-182,blink-182,10/2/2004,,
158,blink-182,blink-182,10/9/2004,,
183,blink-182,blink-182,1/15/2005,,
189,blink-182,blink-182,10/16/2004,,
2,brand new eyes,paramore,10/17/2009,,
9,burials,afi,11/9/2013,,
65,burials,afi,11/16/2013,,
167,burials,afi,11/23/2013,,
1,california,blink-182,7/23/2016,,
3,california,blink-182,7/30/2016,,
12,california,blink-182,8/13/2016,,
13,california,blink-182,8/6/2016,,
17,california,blink-182,6/10/2017,,
25,california,blink-182,10/22/2016,,
25,california,blink-182,8/20/2016,,
40,california,blink-182,8/27/2016,,
45,california,blink-182,9/24/2016,,
45,california,blink-182,9/10/2016,,
51,california,blink-182,9/3/2016,,
52,california,blink-182,9/17/2016,,
75,california,blink-182,10/15/2016,,
94,california,blink-182,10/8/2016,,
94,california,blink-182,10/1/2016,,
133,california,blink-182,6/17/2017,,
134,california,blink-182,11/12/2016,,
138,california,blink-182,10/29/2016,,
175,california,blink-182,11/5/2016,,
183,california,blink-182,6/24/2017,,
183,california,blink-182,11/19/2016,,
192,california,blink-182,12/3/2016,,
194,california,blink-182,12/10/2016,,
199,california,blink-182,1/28/2017,,
31,cardiology,good charlotte,11/20/2010,,
125,cardiology,good charlotte,11/27/2010,,
3,catalyst,new found glory,6/5/2004,,
10,catalyst,new found glory,6/12/2004,,
13,catalyst,new found glory,6/19/2004,,
25,catalyst,new found glory,6/26/2004,,
33,catalyst,new found glory,7/10/2004,,
37,catalyst,new found glory,7/3/2004,,
49,catalyst,new found glory,7/17/2004,,
50,catalyst,new found glory,7/24/2004,,
77,catalyst,new found glory,7/31/2004,,
85,catalyst,new found glory,8/7/2004,,
86,catalyst,new found glory,8/14/2004,,
98,catalyst,new found glory,8/21/2004,,
108,catalyst,new found glory,8/28/2004,,
111,catalyst,new found glory,9/4/2004,,
136,catalyst,new found glory,9/18/2004,,
138,catalyst,new found glory,9/25/2004,,
143,catalyst,new found glory,9/11/2004,,
