133, 'dude ranch', 'blink-182
1998-01-03
129, 'dude ranch', 'blink-182
1997-12-27
142, 'dude ranch', 'blink-182
1997-12-20
143, 'dude ranch', 'blink-182
1997-12-13
166, 'dude ranch', 'blink-182
1997-12-06
157, 'dude ranch', 'blink-182
1997-11-29
157, 'dude ranch', 'blink-182
1997-11-22
156, 'dude ranch', 'blink-182
1997-11-15
177, 'dude ranch', 'blink-182
191, 'ixnay on the hombre', 'the offspring
1997-11-08
169, 'dude ranch', 'blink-182
189, 'ixnay on the hombre', 'the offspring
1997-11-01
182, 'ixnay on the hombre', 'the offspring
189, 'dude ranch', 'blink-182
1997-10-25
191, 'ixnay on the hombre', 'the offspring
1997-10-18
179, 'ixnay on the hombre', 'the offspring
1997-10-11
175, 'ixnay on the hombre', 'the offspring
1997-10-04
163, 'ixnay on the hombre', 'the offspring
1997-09-27
162, 'ixnay on the hombre', 'the offspring
1997-09-20
142, 'ixnay on the hombre', 'the offspring
1997-09-13
139, 'ixnay on the hombre', 'the offspring
187, 'dude ranch', 'blink-182
1997-09-06
137, 'ixnay on the hombre', 'the offspring
1997-08-30
129, 'ixnay on the hombre', 'the offspring
1997-08-23
130, 'ixnay on the hombre', 'the offspring
1997-08-16
121, 'ixnay on the hombre', 'the offspring
1997-08-09
126, 'ixnay on the hombre', 'the offspring
1997-08-02
114, 'ixnay on the hombre', 'the offspring
188, 'dude ranch', 'blink-182
1997-07-26
112, 'ixnay on the hombre', 'the offspring
1997-07-19
97, 'ixnay on the hombre', 'the offspring
197, 'dude ranch', 'blink-182
1997-07-12
82, 'ixnay on the hombre', 'the offspring
135, 'dude ranch', 'blink-182
1997-07-05
74, 'ixnay on the hombre', 'the offspring
1997-06-28
73, 'ixnay on the hombre', 'the offspring
1997-06-21
60, 'ixnay on the hombre', 'the offspring
1997-06-14
54, 'ixnay on the hombre', 'the offspring
1997-06-07
45, 'ixnay on the hombre', 'the offspring
1997-05-31
41, 'ixnay on the hombre', 'the offspring
1997-05-24
35, 'ixnay on the hombre', 'the offspring
1997-05-17
33, 'ixnay on the hombre', 'the offspring
1997-05-10
29, 'ixnay on the hombre', 'the offspring
1997-05-03
29, 'ixnay on the hombre', 'the offspring
1997-04-26
25, 'ixnay on the hombre', 'the offspring
1997-04-19
28, 'ixnay on the hombre', 'the offspring
1997-04-12
27, 'ixnay on the hombre', 'the offspring
1997-04-05
28, 'ixnay on the hombre', 'the offspring
1997-03-29
33, 'ixnay on the hombre', 'the offspring
1997-03-22
30, 'ixnay on the hombre', 'the offspring
1997-03-15
22, 'ixnay on the hombre', 'the offspring
1997-03-08
15, 'ixnay on the hombre', 'the offspring
1997-03-01
9, 'ixnay on the hombre', 'the offspring
1997-02-22
1997-02-15
1997-02-08
1997-02-01
1997-01-25
1997-01-18
1997-01-11
1997-01-04
